company_name,symbol,day,time,eps
Allegion PLC,ALLE,Apr 30,Before Market Open,0.47
AllianceBernstein Holding LP,AB,Apr 30,Before Market Open,0.47
Alliant Energy Corp,LNT,Apr 30,After Market Close,0.91
Alpha Natural Resources Inc,ANR,Apr 30,Before Market Open,-0.73
Alphatec Holdings Inc,ATEC,Apr 30,After Market Close,-0.02
Altagas Ltd,ALA.TO,Apr 30,Before Market Open,0.45
Altra Industrial Motion Corp,AIMC,Apr 30,After Market Close,0.4
American International Group Inc,AIG,Apr 30,After Market Close,1.19
American Realty Investors Inc,ARL,Apr 30,Time Not Supplied,N/A
American Tower Corp,AMT,Apr 30,07:00 am ET,1.16
AmerisourceBergen Corp,ABC,Apr 30,Before Market Open,1.19
Aneka Tambang Tbk Perusahaan Perseroan (Persero) PT,ANTM.JK,Apr 30,Before Market Open,N/A
Apartment Investment and Management Co,AIV,Apr 30,After Market Close,0.51
Applied Industrial Technologies Inc,AIT,Apr 30,Before Market Open,0.76
Aptargroup Inc,ATR,Apr 30,After Market Close,0.63
Armada Hoffler Properties Inc,AHH,Apr 30,Before Market Open,0.18
Armstrong World Industries Inc,AWI,Apr 30,Before Market Open,0.39
Arrow Electronics Inc,ARW,Apr 30,Before Market Open,1.32
athenahealth Inc,ATHN,Apr 30,After Market Close,0.14
Atlas Air Worldwide Holdings Inc,AAWW,Apr 30,Before Market Open,0.5
Attunity Ltd,ATTU,Apr 30,Before Market Open,0
Audience Inc,ADNC,Apr 30,After Market Close,-0.46
Automatic Data Processing Inc,ADP,Apr 30,Before Market Open,1.02
AV Homes Inc,AVHI,Apr 30,After Market Close,-0.23
Avon Products Inc,AVP,Apr 30,Before Market Open,0.07
AXT Inc,AXTI,Apr 30,After Market Close,-0.03
Ball Corp,BLL,Apr 30,Before Market Open,0.79
Banco Popular Espanol SA,POP.MC,Apr 30,Before Market Open,N/A
Bank of Beijing Co Ltd,601169.SS,Apr 30,Time Not Supplied,N/A
Bank of China Ltd,601988.SS,Apr 30,Time Not Supplied,N/A
Bank of Nanjing Co Ltd,601009.SS,Apr 30,Time Not Supplied,N/A
Bank Rakyat Indonesia (Persero) Tbk PT,BBRI.JK,Apr 30,Time Not Supplied,N/A
Bank Tabungan Pensiunan Nasional Tbk PT,BTPN.JK,Apr 30,Before Market Open,N/A
BankFinancial Corp,BFIN,Apr 30,After Market Close,0.09
BASF SE,BAS.DE,Apr 30,01:00 am ET,N/A
Bayer AG,BAYN.DE,Apr 30,01:30 am ET,2.2
BCE Inc,BCE.TO,Apr 30,Before Market Open,0.79
BE Semiconductor Industries NV,BESI.AS,Apr 30,01:00 am ET,N/A
Beazer Homes USA Inc,BZH,Apr 30,Before Market Open,-0.07
Beijing Jingcheng Machinery Electric Co Ltd,600860.SS,Apr 30,Time Not Supplied,N/A
Beijing Tongrentang Co Ltd,600085.SS,Apr 30,Time Not Supplied,N/A
Belden Inc,BDC,Apr 30,Before Market Open,0.98
BIOLASE Inc,BIOL,Apr 30,Time Not Supplied,-0.05
Biomarin Pharmaceutical Inc,BMRN,Apr 30,After Market Close,-0.53
Blackrock Capital Investment Corp,BKCC,Apr 30,Before Market Open,0.24
Blucora Inc,BCOR,Apr 30,After Market Close,0.91
Blue Capital Reinsurance Holdings Ltd,BCRH,Apr 30,After Market Close,0.55
Blyth Inc,BTH,Apr 30,Time Not Supplied,N/A
BNP Paribas SA,BNP.PA,Apr 30,01:00 am ET,N/A
BofI Holding Inc,BOFI,Apr 30,Before Market Open,1.28
Bolsas y Mercados Espanoles Sociedad Holding de Mercados y Sistemas Financieros,BME.MC,Apr 30,Before Market Open,N/A
BorgWarner Inc,BWA,Apr 30,Before Market Open,0.85
Bottomline Technologies (DE) Inc,EPAY,Apr 30,4:00 pm ET,0.3
Boyd Gaming Corp,BYD,Apr 30,After Market Close,0.09
Bright Horizons Family Solutions Inc,BFAM,Apr 30,After Market Close,0.4
Brightcove Inc,BCOV,Apr 30,After Market Close,-0.05
Broadwind Energy Inc,BWEN,Apr 30,Before Market Open,-0.34
Brookfield Property Partners LP,BPY,Apr 30,Before Market Open,N/A
Brooks Automation Inc,BRKS,Apr 30,After Market Close,0.05
Bryn Mawr Bank Corp,BMTC,Apr 30,After Market Close,0.52
Bunge Ltd,BG,Apr 30,Before Market Open,1.14
Cabot Microelectronics Corp,CCMP,Apr 30,Before Market Open,0.62
CAI International Inc,CAP,Apr 30,4:00 pm ET,0.67
Calamos Asset Management Inc,CLMS,Apr 30,After Market Close,0.08
Calfrac Well Services Ltd,CFW.TO,Apr 30,Before Market Open,-0.14
California Resources Corp,CRC,Apr 30,After Market Close,-0.28
Callidus Software Inc,CALD,Apr 30,After Market Close,0.05
Cambrex Corp,CBM,Apr 30,Before Market Open,0.23
Camden Property Trust,CPT,Apr 30,After Market Close,1.07
Camtek Ltd,CAMT.TA,Apr 30,Time Not Supplied,N/A
Canadian Oil Sands Ltd,COS.TO,Apr 30,5:00 pm ET,-0.22
Canfor Corp,CFP.TO,Apr 30,Time Not Supplied,0.26
Capital Product Partners LP,CPLP,Apr 30,Before Market Open,0.1
CapitaLand Ltd,C31.SI,Apr 30,After Market Close,N/A
CARBO Ceramics Inc,CRR,Apr 30,Before Market Open,-0.49
Cardinal Health Inc,CAH,Apr 30,Before Market Open,1.16
Cardtronics Inc,CATM,Apr 30,After Market Close,0.58
Carpenter Technology Corp,CRS,Apr 30,Before Market Open,0.28
Cash America International Inc,CSH,Apr 30,Before Market Open,0.26
Catamaran Corp,CTRX,Apr 30,06:00 am ET,0.57
CDK Global Inc,CDK,Apr 30,Before Market Open,0.34
Celgene Corp,CELG,Apr 30,Before Market Open,1.06
Cempra Inc,CEMP,Apr 30,After Market Close,-0.42
Centerra Gold Inc,CG.TO,Apr 30,After Market Close,0.06
Century Aluminum Co,CENX,Apr 30,After Market Close,0.63
Chart Industries Inc,GTLS,Apr 30,Time Not Supplied,0.29
Chesapeake Lodging Trust,CHSP,Apr 30,After Market Close,-0.04
China CNR Corp Ltd,601299.SS,Apr 30,Time Not Supplied,N/A
China Construction Bank Corp,601939.SS,Apr 30,Time Not Supplied,N/A
China Eastern Airlines Corp Ltd,600115.SS,Apr 30,Time Not Supplied,N/A
China Everbright Bank Co Ltd,601818.SS,Apr 30,Time Not Supplied,N/A
China Galaxy Securities Co Ltd,6881.HK,Apr 30,Time Not Supplied,N/A
China Oilfield Services Ltd,601808.SS,Apr 30,Time Not Supplied,N/A
China Pacific Insurance Group Co Ltd,601601.SS,Apr 30,Time Not Supplied,N/A
China Petroleum & Chemical Corp,600028.SS,Apr 30,Time Not Supplied,N/A
China Railway Construction Corp Ltd,601186.SS,Apr 30,Time Not Supplied,N/A
China Shipbuilding Industry Co Ltd,601989.SS,Apr 30,Time Not Supplied,N/A
China Shipbuilding Industry Co Ltd,601989.SS,Apr 30,Time Not Supplied,N/A
China Southern Airlines Co Ltd,600029.SS,Apr 30,Time Not Supplied,N/A
China State Construction Engineering Corp Ltd,601668.SS,Apr 30,Time Not Supplied,N/A
China XD Electric Co Ltd,601179.SS,Apr 30,Time Not Supplied,N/A
China Yangtze Power Co Ltd,600900.SS,Apr 30,Time Not Supplied,N/A
China Yangtze Power Co Ltd,600900.SS,Apr 30,Time Not Supplied,N/A
Chroma ATE Inc,2360.TW,Apr 30,Time Not Supplied,N/A
Chunghwa Telecom Co Ltd,2412.TW,Apr 30,Time Not Supplied,N/A
Cigna Corp,CI,Apr 30,Before Market Open,1.84
Ciputra Development Tbk PT,CTRA.JK,Apr 30,Time Not Supplied,N/A
CITIC Securities Co Ltd,600030.SS,Apr 30,Time Not Supplied,N/A
Clayton Williams Energy Inc,CWEI,Apr 30,Before Market Open,-1.46
Clear Channel Outdoor Holdings Inc,CCO,Apr 30,Before Market Open,-0.14
Clearone Inc,CLRO,Apr 30,Before Market Open,0.13
Cloud Peak Energy Inc,CLD,Apr 30,After Market Close,-0.12
Clubcorp Holdings Inc,MYCC,Apr 30,Before Market Open,-0.01
CME Group Inc,CME,Apr 30,Before Market Open,0.95
CNH Industrial NV,CNHI.MI,Apr 30,Time Not Supplied,0.07
Coca-Cola Enterprises Inc,CCE,Apr 30,Before Market Open,0.4
Cohu Inc,COHU,Apr 30,4:00 pm ET,-0.07
Colgate-Palmolive Co,CL,Apr 30,Before Market Open,0.66
Columbia Pipeline Partners LP,CPPL,Apr 30,Before Market Open,0.21
Columbia Property Trust Inc,CXP,Apr 30,After Market Close,0.05
Columbia Sportswear Co,COLM,Apr 30,4:00 pm ET,0.36
CommScope Holding Company Inc,COMM,Apr 30,Before Market Open,0.36
Community Bankers Trust Corp,ESXB,Apr 30,Before Market Open,N/A
Computer Programs and Systems Inc,CPSI,Apr 30,After Market Close,0.55
ConocoPhillips,COP,Apr 30,Before Market Open,-0.15
Constant Contact Inc,CTCT,Apr 30,After Market Close,0.19
Control4 Corp,CTRL,Apr 30,After Market Close,-0.02
COSCO Corporation Singapore Ltd,F83.SI,Apr 30,After Market Close,N/A
Cowen Group Inc,COWN,Apr 30,Before Market Open,0.12
CRA International Inc,CRAI,Apr 30,Before Market Open,0.36
Crocs Inc,CROX,Apr 30,After Market Close,-0.01
CSR Corp Ltd,601766.SS,Apr 30,Time Not Supplied,N/A
CTC Media Inc,CTCM,Apr 30,Time Not Supplied,0.06
CubeSmart,CUBE,Apr 30,After Market Close,0.27
Cumulus Media Inc,CMLS,Apr 30,After Market Close,-0.06
CVR Energy Inc,CVI,Apr 30,Before Market Open,0.72
CVR Partners LP,UAN,Apr 30,Before Market Open,0.32
CVR Refining LP,CVRR,Apr 30,Before Market Open,0.7
Cypress Semiconductor Corp,CY,Apr 30,Before Market Open,0.09
Cytokinetics Inc,CYTK,Apr 30,4:00 pm ET,-0.12
Data I/O Corp,DAIO,Apr 30,After Market Close,N/A
DCT Industrial Trust Inc,DCT,Apr 30,After Market Close,0.47
Dehaier Medical Systems Ltd,DHRM,Apr 30,Before Market Open,N/A
Delphi Automotive PLC,DLPH,Apr 30,Before Market Open,1.18
Diebold Inc,DBD,Apr 30,Before Market Open,0.28
Digirad Corp,DRAD,Apr 30,Before Market Open,N/A
DigitalGlobe Inc,DGI,Apr 30,After Market Close,-0.08
DineEquity Inc,DIN,Apr 30,Before Market Open,1.59
DNB ASA,DNB.OL,Apr 30,01:30 am ET,N/A
Domtar Corp,UFS.TO,Apr 30,Before Market Open,0.74
Dongfang Electric Corp Ltd,600875.SS,Apr 30,Time Not Supplied,N/A
Dover Downs Gaming & Entertainment Inc,DDE,Apr 30,Time Not Supplied,N/A
Dover Motorsports Inc,DVD,Apr 30,Time Not Supplied,N/A
DreamWorks Animation SKG Inc,DWA,Apr 30,After Market Close,-0.42
Dresser-Rand Group Inc,DRC,Apr 30,After Market Close,0.25
DSP Group Inc,DSPG,Apr 30,Before Market Open,0.06
DSV A/S,DSV.CO,Apr 30,Time Not Supplied,N/A
DURECT Corp,DRRX,Apr 30,After Market Close,-0.06
Eagle High Plantations Tbk PT,BWPT.JK,Apr 30,Time Not Supplied,N/A
Eastman Chemical Co,EMN,Apr 30,After Market Close,1.6
Eldorado Gold Corp,ELD.TO,Apr 30,After Market Close,0.01
Eleven Biotherapeutics Inc,EBIO,Apr 30,Time Not Supplied,-0.47
Ellie Mae Inc,ELLI,Apr 30,After Market Close,0.2
eLong Inc,LONG,Apr 30,After Market Close,-0.49
Embraer SA,EMBR3.SA,Apr 30,06:00 am ET,N/A
EMCOR Group Inc,EME,Apr 30,Before Market Open,0.64
Empire District Electric Co,EDE,Apr 30,After Market Close,0.34
ENCE Energia y Celulosa SA,ENC.MC,Apr 30,Before Market Open,N/A
Endocyte Inc,ECYT,Apr 30,Before Market Open,-0.24
EnPro Industries Inc,NPO,Apr 30,Before Market Open,0.28
Ensco PLC,ESV,Apr 30,Before Market Open,1.3
Enterprise Products Partners LP,EPD,Apr 30,Before Market Open,0.33
Envision Healthcare Holdings Inc,EVHC,Apr 30,After Market Close,0.26
Erie Indemnity Co,ERIE,Apr 30,After Market Close,0.9
Euronav NV,EURN.BR,Apr 30,Before Market Open,N/A
Eversource Energy,ES,Apr 30,Before Market Open,0.81
Exelixis Inc,EXEL,Apr 30,After Market Close,-0.24
Exlservice Holdings Inc,EXLS,Apr 30,Before Market Open,0.42
Exmar NV,EXM.BR,Apr 30,Time Not Supplied,N/A
Expedia Inc,EXPE,Apr 30,After Market Close,0.1
Extended Stay America Inc,STAY,Apr 30,Before Market Open,0.13
Exxon Mobil Corp,XOM,Apr 30,Time Not Supplied,0.82
EZCORP Inc,EZPW,Apr 30,After Market Close,0.32
Fairfax Financial Holdings Ltd,FFH.TO,Apr 30,After Market Close,N/A
Federal Signal Corp,FSS,Apr 30,Before Market Open,0.16
Federated National Holding Co,FNHC,Apr 30,4:00 pm ET,0.67
Female Health Co,FHCO,Apr 30,Time Not Supplied,0.07
Ferrovial SA,FER.MC,Apr 30,After Market Close,N/A
Fidelity National Information Services Inc,FIS,Apr 30,Before Market Open,0.66
Fiesta Restaurant Group Inc,FRGI,Apr 30,After Market Close,0.38
FireEye Inc,FEYE,Apr 30,After Market Close,-0.51
First Community Bancshares Inc,FCBC,Apr 30,Before Market Open,0.31
First Financial Bancorp,FFBC,Apr 30,After Market Close,0.29
First National Bank Alaska,FBAK,Apr 30,Time Not Supplied,N/A
First Potomac Realty Trust,FPO,Apr 30,After Market Close,0.25
First Quantum Minerals Ltd,FM.TO,Apr 30,After Market Close,0.06
First Solar Inc,FSLR,Apr 30,After Market Close,-0.29
Fleetcor Technologies Inc,FLT,Apr 30,After Market Close,1.4
Flowserve Corp,FLS,Apr 30,After Market Close,0.69
Fluidra SA,FDR.MC,Apr 30,Before Market Open,N/A
Fluor Corp,FLR,Apr 30,After Market Close,0.98
Fortune Brands Home & Security Inc,FBHS,Apr 30,After Market Close,0.32
Fresenius Medical Care AG & Co KGaA,FME.DE,Apr 30,01:00 am ET,N/A
Fresenius SE & Co KGaA,FRE.DE,Apr 30,Time Not Supplied,N/A
FTI Consulting Inc,FCN,Apr 30,Before Market Open,0.35
Fuchs Petrolub SE,FPE3.DE,Apr 30,01:00 am ET,N/A
G&K Services Inc,GK,Apr 30,Before Market Open,0.79
Gallant Venture Ltd,5IG.SI,Apr 30,Time Not Supplied,N/A
GasLog Partners LP,GLOP,Apr 30,Before Market Open,0.46
GD Power Development Co Ltd,600795.SS,Apr 30,Time Not Supplied,N/A
Generac Holdings Inc,GNRC,Apr 30,Before Market Open,0.63
Genpact Ltd,G,Apr 30,After Market Close,0.25
Gentherm Inc,THRM,Apr 30,06:00 am ET,0.5
Geo Group Inc,GEO,Apr 30,Before Market Open,0.72
Gilead Sciences Inc,GILD,Apr 30,4:05 pm ET,2.31
Global Power Equipment Group Inc,GLPW,Apr 30,Before Market Open,-0.04
Global Ship Lease Inc,GSL,Apr 30,Before Market Open,-0.03
GlobalSCAPE Inc,GSB,Apr 30,Time Not Supplied,N/A
GMP Capital Inc,GMP.TO,Apr 30,Before Market Open,0.01
GNC Holdings Inc,GNC,Apr 30,Before Market Open,0.81
Goldcorp Inc,G.TO,Apr 30,Before Market Open,0.1
Government Properties Income Trust,GOV,Apr 30,Before Market Open,0.57
GrafTech International Ltd,GTI,Apr 30,Before Market Open,-0.05
Greatbatch Inc,GB,Apr 30,After Market Close,0.56
Green Bancorp Inc,GNBC,Apr 30,After Market Close,0.18
Griffon Corp,GFF,Apr 30,Time Not Supplied,0.14
H&E Equipment Services Inc,HEES,Apr 30,Before Market Open,0.21
HABIT RESTAURANTS INC,HABT,Apr 30,After Market Close,0.06
Hainan Airlines Co Ltd,600221.SS,Apr 30,Time Not Supplied,N/A
Hanover Insurance Group Inc,THG,Apr 30,After Market Close,1.1
Harman International Industries Inc,HAR,Apr 30,08:00 am ET,1.27
Harte Hanks Inc,HHS,Apr 30,Before Market Open,0.05
Harvard Bioscience Inc,HBIO,Apr 30,Before Market Open,0.05
HCI Group Inc,HCI,Apr 30,After Market Close,1.93
HealthSouth Corp,HLS,Apr 30,After Market Close,0.56
HeartWare International Inc,HTWR,Apr 30,Before Market Open,-0.55
Heritage Oaks Bancorp,HEOP,Apr 30,After Market Close,0.13
Hiwin Technologies Corp,2049.TW,Apr 30,Time Not Supplied,N/A
Hochtief AG,HOT.DE,Apr 30,01:00 am ET,0.83
Holcim Ltd,HOLN.VX,Apr 30,01:00 am ET,N/A
Home Properties Inc,HME,Apr 30,After Market Close,1.1
Host Hotels & Resorts Inc,HST,Apr 30,Before Market Open,0.33
Hua Xia Bank Co Ltd,600015.SS,Apr 30,Time Not Supplied,N/A
Huntsman Corp,HUN,Apr 30,Before Market Open,0.28
Hutchinson Technology Inc,HTCH,Apr 30,After Market Close,-0.25
iCAD Inc,ICAD,Apr 30,Before Market Open,-0.02
Idacorp Inc,IDA,Apr 30,Before Market Open,0.58
iHeartMedia Inc,IHRT,Apr 30,Before Market Open,-2.2
IMAX Corp,IMAX,Apr 30,Before Market Open,0.04
Immersion Corp,IMMR,Apr 30,After Market Close,0.04
Incyte Corp,INCY,Apr 30,07:00 am ET,-0.09
Indofood Agri Resources Ltd,5JS.SI,Apr 30,Time Not Supplied,N/A
Industrial and Commercial Bank of China Ltd,601398.SS,Apr 30,Time Not Supplied,N/A
Ingles Markets Inc,IMKTA,Apr 30,Before Market Open,N/A
Ingredion Inc,INGR,Apr 30,Before Market Open,1.22
Inner Mongolia Yili Energy Co Ltd,600277.SS,Apr 30,Time Not Supplied,N/A
Insulet Corp,PODD,Apr 30,After Market Close,-0.1
Integra LifeSciences Holdings Corp,IART,Apr 30,After Market Close,0.63
Intelsat SA,I,Apr 30,Before Market Open,0.51
Interfor Corp,IFP.TO,Apr 30,Time Not Supplied,0.12
International Consolidated Airlines Group SA,IAG.L,Apr 30,02:00 am ET,0.02
Inventure Foods Inc,SNAK,Apr 30,Before Market Open,0.07
Invesco Ltd,IVZ,Apr 30,07:30 am ET,0.6
Investment Technology Group Inc,ITG,Apr 30,Before Market Open,0.45
Investors Bancorp Inc,ISBC,Apr 30,After Market Close,0.12
Iradimed Corp,IRMD,Apr 30,Before Market Open,0.12
Iridium Communications Inc,IRDM,Apr 30,Before Market Open,0.18
Iron Mountain Inc,IRM,Apr 30,Before Market Open,0.53
ITC Holdings Corp,ITC,Apr 30,Before Market Open,0.5
JDS Uniphase Corp,JDSU,Apr 30,After Market Close,0.09
Kalbe Farma Tbk PT,KLBF.JK,Apr 30,Time Not Supplied,N/A
Key Technology Inc,KTEC,Apr 30,After Market Close,-0.2
Kite Realty Group Trust,KRG,Apr 30,After Market Close,0.49
Kongsberg Gruppen ASA,KOG.OL,Apr 30,Time Not Supplied,N/A
Koninklijke KPN NV,KPN.AS,Apr 30,01:30 am ET,N/A
L-3 Communications Holdings Inc,LLL,Apr 30,Before Market Open,1.54
Lafarge SA,LG.PA,Apr 30,01:00 am ET,N/A
Lancashire Holdings Ltd,LRE.L,Apr 30,02:00 am ET,0.3
Lancaster Colony Corp,LANC,Apr 30,Before Market Open,0.74
Lawson Products Inc,LAWS,Apr 30,Before Market Open,N/A
Leggett & Platt Inc,LEG,Apr 30,After Market Close,0.46
Lendingtree Inc,TREE,Apr 30,Before Market Open,0.25
Liaoning Cheng Da Co Ltd,600739.SS,Apr 30,Time Not Supplied,N/A
Libbey Inc,LBY,Apr 30,Before Market Open,0.16
Limelight Networks Inc,LLNW,Apr 30,After Market Close,-0.04
Linde AG,LIN.DE,Apr 30,Time Not Supplied,N/A
LinkedIn Corp,LNKD,Apr 30,After Market Close,0.56
Live Nation Entertainment Inc,LYV,Apr 30,After Market Close,-0.34
LKQ Corp,LKQ,Apr 30,Before Market Open,0.32
LPL Financial Holdings Inc,LPLA,Apr 30,Before Market Open,0.62
LRR Energy LP,LRE,Apr 30,After Market Close,0.2
LTC Properties Inc,LTC,Apr 30,After Market Close,0.64
Lydall Inc,LDL,Apr 30,Before Market Open,0.42
Magellan Health Inc,MGLN,Apr 30,Before Market Open,0.39
Maple Leaf Foods Inc,MFI.TO,Apr 30,Before Market Open,0.05
Marathon Petroleum Corp,MPC,Apr 30,Before Market Open,2.87
Marlin Business Services Corp,MRLN,Apr 30,After Market Close,0.39
Marriott Vacations Worldwide Corp,VAC,Apr 30,Before Market Open,0.71
Marsh & McLennan Companies Inc,MMC,Apr 30,Before Market Open,0.86
Martin Marietta Materials Inc,MLM,Apr 30,Before Market Open,0.12
Materion Corp,MTRN,Apr 30,Before Market Open,0.37
Matthews International Corp,MATW,Apr 30,After Market Close,0.64
MaxLinear Inc,MXL,Apr 30,After Market Close,0.07
McGrath RentCorp,MGRC,Apr 30,After Market Close,0.35
MediaTek Inc,2454.TW,Apr 30,Time Not Supplied,N/A
Mediclin AG,MED.DE,Apr 30,Time Not Supplied,N/A
MEDNAX Inc,MD,Apr 30,Before Market Open,0.71
Megacable Holdings SAB de CV,MEGACPO.MX,Apr 30,Time Not Supplied,0.72
Mercer International Inc,MERC,Apr 30,After Market Close,0.34
Microvision Inc,MVIS,Apr 30,Before Market Open,0.02
Middlesex Water Co,MSEX,Apr 30,Time Not Supplied,N/A
Mitek Systems Inc,MITK,Apr 30,After Market Close,0.03
Mitra Pinasthika Mustika Tbk PT,MPMX.JK,Apr 30,Time Not Supplied,N/A
Mobile Mini Inc,MINI,Apr 30,Before Market Open,0.27
Mobileiron Inc,MOBL,Apr 30,After Market Close,-0.2
Mosaic Co,MOS,Apr 30,Before Market Open,N/A
MPLX LP,MPLX,Apr 30,Before Market Open,0.51
MRC Global Inc,MRC,Apr 30,After Market Close,0.2
MSCI Inc,MSCI,Apr 30,Before Market Open,0.5
National Fuel Gas Co,NFG,Apr 30,After Market Close,0.89
Navios Maritime Midstream Partners LP,NAP,Apr 30,Time Not Supplied,0.3
Nektar Therapeutics,NKTR,Apr 30,After Market Close,-0.4
Nemetschek AG,NEM.DE,Apr 30,01:00 am ET,N/A
NetScout Systems Inc,NTCT,Apr 30,Before Market Open,0.54
Neurocrine Biosciences Inc,NBIX,Apr 30,Before Market Open,-0.3
Nevsun Resources Ltd,NSU.TO,Apr 30,After Market Close,0.07
New China Life Insurance Co Ltd,601336.SS,Apr 30,Time Not Supplied,N/A
New Media Investment Group Inc,NEWM,Apr 30,Before Market Open,-0.1
New York Times Co,NYT,Apr 30,Before Market Open,0.08
Newcastle Investment Corp,NCT,Apr 30,Before Market Open,N/A
Newpark Resources Inc,NR,Apr 30,After Market Close,0.12
NexJ Systems Inc,NXJ.TO,Apr 30,Time Not Supplied,-0.12
NiSource Inc,NI,Apr 30,Before Market Open,0.82
NorCom Information Technology AG,NC5A.DE,Apr 30,Time Not Supplied,N/A
Northeast Bancorp,NBN,Apr 30,After Market Close,N/A
Norwegian Property ASA,NPRO.OL,Apr 30,01:00 am ET,N/A
Nutrisystem Inc,NTRI,Apr 30,After Market Close,0.05
Oaktree Capital Group LLC,OAK,Apr 30,Before Market Open,0.65
Ocera Therapeutics Inc,OCRX,Apr 30,Before Market Open,-0.36
Ocwen Financial Corp,OCN,Apr 30,Time Not Supplied,0.13
Old Dominion Freight Line Inc,ODFL,Apr 30,Before Market Open,0.71
OM Group Inc,OMG,Apr 30,Before Market Open,0.05
Omnicell Inc,OMCL,Apr 30,After Market Close,0.23
Orbotech Ltd,ORBK,Apr 30,Before Market Open,0.43
Orion Marine Group Inc,ORN,Apr 30,Before Market Open,0.01
Oversea-Chinese Banking Corporation Ltd,O39.SI,Apr 30,Time Not Supplied,0.22
OXiGENE Inc,OXGN,Apr 30,Time Not Supplied,-0.13
Pacira Pharmaceuticals Inc,PCRX,Apr 30,Before Market Open,0.2
PAR Technology Corp,PAR,Apr 30,07:30 am ET,N/A
Patrick Industries Inc,PATK,Apr 30,Before Market Open,0.75
PBF Energy Inc,PBF,Apr 30,Before Market Open,0.88
PBF Logistics LP,PBFX,Apr 30,Before Market Open,0.47
PC Connection Inc,PCCC,Apr 30,After Market Close,0.28
PDF Solutions Inc,PDFS,Apr 30,After Market Close,0.32
Penn West Petroleum Ltd,PWT.TO,Apr 30,Before Market Open,-0.16
Peoples Bancorp Inc,PEBO,Apr 30,After Market Close,0.43
PerkinElmer Inc,PKI,Apr 30,After Market Close,0.46
Petroleum Geo Services ASA,PGS.OL,Apr 30,02:00 am ET,N/A
Phillips 66,PSX,Apr 30,08:00 am ET,1.42
Phillips 66 Partners LP,PSXP,Apr 30,08:45 am ET,0.39
Ping An Insurance Group Co of China Ltd,601318.SS,Apr 30,Time Not Supplied,N/A
Pinnacle Foods Inc,PF,Apr 30,Before Market Open,0.39
Pioneer Energy Services Corp,PES,Apr 30,Before Market Open,-0.12
Pitney Bowes Inc,PBI,Apr 30,Before Market Open,0.41
Pixelworks Inc,PXLW,Apr 30,After Market Close,-0.08
Polarcus Ltd,PLCS.OL,Apr 30,01:00 am ET,N/A
Poly Real Estate Group Co Ltd,600048.SS,Apr 30,Time Not Supplied,N/A
PolyOne Corp,POL,Apr 30,After Market Close,0.47
Potash Corporation of Saskatchewan Inc,POT.TO,Apr 30,06:00 am ET,0.5
Powertech Technology Inc,6239.TW,Apr 30,Time Not Supplied,N/A
Preformed Line Products Co,PLPC,Apr 30,Time Not Supplied,N/A
Progressive Waste Solutions Ltd,BIN.TO,Apr 30,Before Market Open,0.24
Prosegur Compania de Seguridad SA,PSG.MC,Apr 30,Before Market Open,N/A
Public Storage,PSA,Apr 30,After Market Close,1.93
Qingdao Haier Co Ltd,600690.SS,Apr 30,Time Not Supplied,N/A
QLogic Corp,QLGC,Apr 30,After Market Close,0.26
Quanta Services Inc,PWR,Apr 30,Before Market Open,0.41
Radian Group Inc,RDN,Apr 30,Before Market Open,0.31
Radware Ltd,RDWR,Apr 30,Before Market Open,0.22
RAIT Financial Trust,RAS,Apr 30,Before Market Open,0.24
Randstad Holding nv,RAND.AS,Apr 30,Time Not Supplied,N/A
Regal Entertainment Group,RGC,Apr 30,4:00 pm ET,0.11
Regis Corp,RGS,Apr 30,Before Market Open,-0.02
Rexel SA,RXL.PA,Apr 30,01:30 am ET,N/A
Rhino Resource Partners LP,RNO,Apr 30,Before Market Open,-0.24
RIB Software AG,RSTA.DE,Apr 30,Time Not Supplied,N/A
Rockwell Automation Inc,ROK,Apr 30,Before Market Open,1.42
Rogers Sugar Inc,RSI.TO,Apr 30,Time Not Supplied,0.06
Rovi Corp,ROVI,Apr 30,After Market Close,0.37
Royal Dutch Shell PLC,RDSA.AS,Apr 30,02:00 am ET,N/A
Royal Gold Inc,RGLD,Apr 30,Before Market Open,0.28
Ruckus Wireless Inc,RKUS,Apr 30,After Market Close,0.08
Ruentex Industries Ltd,2915.TW,Apr 30,Time Not Supplied,N/A
Ryland Group Inc,RYL,Apr 30,Before Market Open,0.45
Saga PLC,SAGA.L,Apr 30,02:00 am ET,N/A
SAIC Motor Corp Ltd,600104.SS,Apr 30,Time Not Supplied,N/A
Sanofi SA,SAN.PA,Apr 30,01:30 am ET,N/A
Sany Heavy Industry Co Ltd,600031.SS,Apr 30,Time Not Supplied,N/A
Sany Heavy Industry Co Ltd,600031.SS,Apr 30,Time Not Supplied,N/A
SCANA Corp,SCG,Apr 30,Before Market Open,1.23
ScanSource Inc,SCSC,Apr 30,After Market Close,0.56
SciQuest Inc,SQI,Apr 30,After Market Close,0.05
Seaboard Corp,SEB,Apr 30,After Market Close,N/A
Sealed Air Corp,SEE,Apr 30,Before Market Open,0.42
Seattle Genetics Inc,SGEN,Apr 30,After Market Close,-0.19
Select Medical Holdings Corp,SEM,Apr 30,After Market Close,0.23
Senomyx Inc,SNMX,Apr 30,Before Market Open,-0.1
Seoul Semiconductor Co Ltd,046890.KQ,Apr 30,Time Not Supplied,N/A
Shandong Gold Mining Co Ltd,600547.SS,Apr 30,Time Not Supplied,N/A
